,X,Y,CTY_CODE,ADTTOTAL,BRIDGE_ID,COVERED_BRIDGE,CUSTODIAN,DECK_AREA,DECKWIDTH,DEPT_MAIN_MATERIAL_TYPE,DEPT_MAIN_PHYSICAL_TYPE,DESIGNMAIN,HISTSIGN,LENGTH,MATERIALMAIN,NBI_RATING,STATE_LOCAL,STRRATING,YEARBUILT,YEARRECON,FLOOD_INSP,KIND_HWY
30668,-77.9856285499,41.7711585998,52,1822.0,52087205801045,0.0,1.0,100.0,0.0,2.0,1.0,19.0,0.0,4.0,1.0,1.0,1,4.0,1970.0,0.0,0.0,3.0
30669,-79.1696105614,40.3187195381,64,125.0,64101300300000,0.0,1.0,495.00003,0.0,1.0,9.0,19.0,0.0,15.0,3.0,0.0,1,5.0,1958.0,0.0,0.0,3.0
30671,-79.1768296637,40.2909485531,64,213.0,64101700900000,0.0,1.0,312.0,0.0,3.0,1.0,19.0,0.0,13.0,1.0,0.0,1,6.0,1952.0,0.0,0.0,3.0
30672,-79.3338900495,40.3551563007,64,1101.0,64101801201320,0.0,1.0,331.200012,27.6000004,8.0,6.0,2.0,0.0,12.0,2.0,0.0,1,5.0,1933.0,1995.0,0.0,3.0
30673,-79.2135049855,40.2923411206,64,137.0,64101900400344,0.0,1.0,336.0,0.0,1.0,9.0,19.0,0.0,14.0,3.0,0.0,1,5.0,1981.0,0.0,0.0,3.0
30674,-80.1507128775,40.2560320815,62,25797.0,62001905100000,0.0,1.0,882.0,0.0,2.0,1.0,19.0,0.0,14.0,1.0,0.0,1,6.0,1948.0,1997.0,0.0,2.0
30675,-80.1263010189,40.2744299141,62,28245.0,62001905400537,0.0,1.0,530.0,0.0,2.0,1.0,19.0,0.0,10.0,1.0,0.0,1,5.0,1940.0,1985.0,0.0,2.0
30676,-80.2937348829,40.6835498452,4,15597.0,4001804502770,0.0,1.0,884.0,0.0,2.0,1.0,19.0,0.0,13.0,1.0,0.0,1,6.0,1965.0,0.0,0.0,3.0
30677,-80.1014457774,40.2957549838,62,22071.0,62001905900000,0.0,1.0,1056.0,0.0,2.0,1.0,19.0,0.0,16.0,1.0,0.0,1,5.0,1940.0,1959.0,0.0,2.0
30678,-80.4854472981,40.4047132038,62,10501.0,62002200500000,0.0,1.0,4838.3999,43.2000008,4.0,2.0,2.0,0.0,112.0,5.0,0.0,1,5.0,1971.0,2008.0,0.0,2.0
30679,-80.3580074515,40.4241525442,62,17363.0,62002202001869,0.0,1.0,3572.0,0.0,2.0,1.0,19.0,0.0,38.0,1.0,0.0,1,5.0,1970.0,0.0,0.0,2.0
30680,-80.4947678085,40.109354328,62,1291.0,62004000301990,0.0,1.0,371.999969,0.0,2.0,1.0,19.0,0.0,12.0,1.0,0.0,1,6.0,1963.0,0.0,0.0,2.0
30684,-77.3824812821,41.5561373235,58,315.0,58041400220332,0.0,1.0,7767.49951,32.5,1.0,9.0,2.0,0.0,238.999985,4.0,0.0,1,7.0,1993.0,0.0,0.0,3.0
30685,-77.3386633629,41.5673003487,58,315.0,58041401100261,0.0,1.0,1206.0,33.5,2.0,1.0,4.0,0.0,36.0,1.0,0.0,1,6.0,1957.0,0.0,0.0,3.0
30686,-77.1030764863,41.5636952453,58,741.0,58041404300190,0.0,1.0,1533.0,36.5,2.0,1.0,4.0,0.0,42.0,1.0,0.0,1,5.0,1957.0,0.0,1.0,3.0
