,Latitude,Longitude,Structure_Material,Structure_Type,Town,Bridge_Owner,Bridge_Identification_Number__B,Year_Built,Year_Reconstructed,Structure_Length,Structurally_Deficient,Structure_Category
4930,42.582106,-71.90227197,1.0,2,Westminster,0,1J8,1937,0,9.1,1,1
4931,42.59124883,-71.861041,3.0,1,Westminster,0,1J9,1993,0,9.8,0,1
4932,42.58295497,-71.90153897,1.0,2,Westminster,0,1JB,1900,1937,11.0,0,1
4933,42.60781683,-71.869038,2.0,19,Westminster,0,1JC,1988,0,12.8,0,1
4934,42.24959783,-71.83081783,2.0,11,Worcester,0,1JD,1909,0,8.2,0,1
4935,42.22867983,-71.85271,2.0,19,Worcester,0,1JE,1994,0,7.6,0,1
4936,42.258338,-71.82694497,2.0,11,Worcester,0,1JF,1908,0,9.1,0,1
4937,42.296201,-71.865751,3.0,5,Holden,0,ACK,1993,0,27.5,0,1
4938,42.355786,-71.629643,2.0,4,Berlin,0,1JH,1933,0,7.6,0,1
4939,42.377056,-71.645944,1.0,2,Berlin,0,1JJ,1956,0,10.7,0,1
4940,42.67479097,-71.17219797,1.0,2,Andover,0,2XT,1962,0,33.5,0,1
4941,42.67511997,-71.172155,1.0,2,Andover,0,2XU,1962,0,32.9,0,1
4942,42.67922,-71.15285797,1.0,2,Andover,0,2XV,1962,0,35.6,0,1
4943,42.678915,-71.15278,1.0,2,Andover,0,2XW,1962,0,40.2,0,1
4944,42.679375,-71.15208333,1.0,2,Andover,0,2XX,1962,0,50.0,0,1
4945,42.09972222,-71.26222222,2.0,19,Foxborough,0,95J,1931,0,4.1,0,2
4946,42.03285797,-71.279882,2.0,19,Foxborough,0,95K,1965,0,2.8,0,2
4952,41.70411897,-71.16031397,5.0,11,Fall River,0,3JE,1903,0,8.0,0,1
4953,42.15741897,-72.637399,1.0,2,West Springfield,0,157,1968,0,37.6,0,1
4954,42.15655797,-72.635328,1.0,2,West Springfield,0,158,1968,0,27.5,0,1
4955,42.156564,-72.63271797,1.0,2,West Springfield,0,159,1953,1997,29.7,0,1
4956,42.225144,-72.169055,1.0,2,Warren,0,1AE,1939,0,8.8,1,1
4957,42.57234197,-72.15417997,1.0,2,Phillipston,0,1AF,1959,2011,41.0,0,1
4960,42.09385997,-72.31416797,3.0,1,Monson,0,1AJ,1900,1977,8.8,0,1
4961,41.76680556,-71.09744444,4.0,2,Freetown,0,AKY,2011,0,57.9,0,1
4962,42.35448397,-71.263326,1.0,2,Waltham,0,AL5,2003,0,20.1,0,1
4963,42.658315,-72.871098,1.0,2,Charlemont,0,AL6,2001,0,18.0,0,1
4964,42.16024097,-73.411308,3.0,1,Egremont,0,AL7,1999,0,15.0,0,1
4971,41.730479,-71.191793,1.0,2,Somerset,0,3U7,1960,0,41.5,0,1
4972,41.73634897,-71.202776,1.0,2,Swansea,0,3U8,1960,2015,38.9,0,1
4973,41.73601389,-71.20314444,1.0,2,Swansea,0,3U9,1960,2015,38.9,0,1
4974,41.66213597,-71.069321,1.0,2,Westport,0,3UA,1965,0,19.8,0,1
4975,41.66210697,-71.068595,1.0,2,Westport,0,3UB,1965,0,19.8,0,1
4977,41.73919697,-71.119528,1.0,2,Fall River,0,3X5,1955,0,71.0,1,1
4978,41.81896797,-70.968354,1.0,2,Lakeville,0,3X6,1958,2005,20.1,0,1
4979,41.81900797,-70.968332,1.0,2,Lakeville,0,3X7,1969,2005,28.7,0,1
4980,41.867156,-71.048241,1.0,2,Taunton,0,3X8,1959,2004,48.8,0,1
4981,42.11920597,-71.328873,1.0,2,Norfolk,0,40K,1987,0,22.3,0,1
4982,41.93886297,-71.16008897,3.0,1,Norton,0,40L,1966,0,17.4,0,1
4983,42.19933497,-71.158866,1.0,2,Norwood,0,40M,1966,0,22.9,0,1
4984,42.132966,-71.17700297,8.0,2,Sharon,0,40N,1901,1977,11.0,1,1
4985,42.086885,-71.195097,3.0,2,Sharon,0,40P,1973,0,29.3,0,1
4986,42.60797997,-71.32022497,1.0,2,Lowell,0,2H2,1959,0,65.6,0,1
4987,42.607961,-71.32052797,1.0,2,Lowell,0,2H3,1959,0,65.6,0,1
4988,42.608161,-71.322269,1.0,2,Lowell,0,2H4,1959,0,36.9,1,1
4989,42.613771,-71.320131,1.0,2,Lowell,0,2H5,1960,0,38.7,1,1
4990,42.61674097,-71.320276,2.0,19,Lowell,0,2H6,1960,0,11.9,0,1
4991,42.21956697,-70.787298,2.0,11,Scituate,0,B6V,2008,0,6.1,0,1
4992,42.65146297,-71.32455097,1.0,9,Lowell,0,B6Y,2014,0,163.0,0,1
4993,42.24861111,-71.16,2.0,19,Dedham,0,B70,1970,0,3.9,0,3
4994,42.24166667,-71.17833333,2.0,19,Dedham,0,B71,1970,0,4.6,0,3
4995,42.641196,-71.325316,4.0,2,Lowell,0,2ND,1995,0,93.6,0,1
4996,42.640272,-71.325034,1.0,2,Lowell,0,2NE,1995,0,45.4,0,1
4997,42.62465497,-71.26663397,4.0,2,Tewksbury,0,2NG,1938,1991,48.2,0,1
4998,42.377859,-71.223646,1.0,10,Waltham,0,2NH,1936,1991,71.3,0,1
5000,42.37422397,-71.07100697,7.0,21,Boston,0,8DE,2005,0,167.2,0,1
5001,42.370403,-71.06496697,7.0,21,Boston,0,8DF,2005,0,313.7,0,1
5002,42.372028,-71.068228,7.0,21,Boston,0,8DG,2002,0,146.5,0,1
5003,41.43282097,-70.556538,3.0,5,Oak Bluffs,0,8DH,2011,0,19.5,0,1
5004,42.64331889,-72.610105,1.0,19,Greenfield,0,AHN,1960,0,7.6,0,1
5005,42.58040197,-72.599421,2.0,11,Greenfield,0,0Q9,1917,0,27.4,0,1
5006,42.61197897,-72.63293097,2.0,19,Greenfield,0,0QA,1989,0,6.4,0,1
5007,42.38552222,-72.54809722,2.0,19,Hadley,0,0QC,1958,0,19.8,0,1
5008,42.341391,-72.55021897,1.0,19,Hadley,0,0QD,1957,0,13.2,0,1
